game,seed,agent,round,fitness,length,loser,dmg0,dmg1,hits0,hits1
gamee,11,utility,3,-31.03,60.0,draw,84,20,10,2
gamee,11,utility,4,26.67,33.6,0,75,129,9,13
gamee,20260707,dtree,0,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,1,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,2,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,3,-16.11,18.9,0,33,20,4,2
gamee,20260707,dtree,4,-16.11,18.9,0,33,20,4,2
gamee,20260707,utility,0,35.41,55.3,0,151,169,18,17
gamee,20260707,utility,1,51.62,37.8,0,142,139,17,14
gamee,20260707,utility,2,26.24,29.4,0,151,79,18,8
gamee,20260707,utility,3,17.69,50.2,0,92,40,11,4
gamee,20260707,utility,4,8.78,32.8,0,176,0,21,0
gamef,11,dtree,0,-18.57,18.4,0,80,0,7,0
gamef,11,dtree,1,-12.02,25.0,0,68,0,6,0
gamef,11,dtree,2,-17.75,19.2,0,68,0,6,0
gamef,11,dtree,3,-10.07,19.6,0,91,21,8,2
gamef,11,dtree,4,-22.57,14.4,0,80,0,7,0
gamef,11,utility,0,-46.0,60.0,draw,23,0,2,0
gamef,11,utility,1,-41.0,60.0,draw,68,0,6,0
gamef,11,utility,2,8.23,40.1,0,102,11,9,1
gamef,11,utility,3,3.92,51.2,1,57,11,5,1
gamef,11,utility,4,-47.0,60.0,draw,23,0,2,0
gamef,20260707,dtree,0,-15.42,22.6,0,45,0,4,0
gamef,20260707,dtree,1,-17.63,18.4,0,80,0,7,0
gamef,20260707,dtree,2,-17.27,17.7,0,91,0,8,0
gamef,20260707,dtree,3,-12.72,25.3,0,57,0,5,0
gamef,20260707,dtree,4,-6.95,29.0,0,80,0,7,0
gamef,20260707,utility,0,-43.0,60.0,draw,45,0,4,0
gamef,20260707,utility,1,-5.75,59.8,1,68,0,6,0
gamef,20260707,utility,2,-43.85,60.0,draw,11,11,1,1
gamef,20260707,utility,3,16.57,45.7,1,91,21,8,2
gamef,20260707,utility,4,0.15,41.0,1,11,11,1,1
